subject,level,total_time,total_distance,start_time,rmi
48262,6,103.16595458984386,1112.3367989999879,881.8253173828125,0.32529919356621484
48262,7,181.282958984375,1893.3136081896641,1534.623046875,0.3566519628677174
48262,8,139.134033203125,1559.9241526957992,1155.3070068359375,0.40676344923850505
48262,9,329.3489990234375,3667.1958761759747,1716.0059814453125,0.7608101575722782
48262,10,287.0429801940918,3253.81059400671,62.3503303527832,0.3470165364343827
48464,1,192.8675994873047,1371.3789759816977,163.8314971923828,0.42501889636937806
48464,2,129.9710693359375,911.4918138947617,1058.8089599609375,0.5640474850697508
48464,3,161.5830078125,1099.2781303606923,1350.2139892578125,0.6785501356308683
48464,4,163.70791625976563,1142.3861855559103,492.7243957519531,0.6328223797790968
48464,5,197.97607421875,1421.2788177149287,860.698974609375,0.3596477100784956
48464,6,112.64467239379883,1089.1997471929144,51.05723190307617,0.4026256529505001
48464,7,161.1719970703125,1104.7879033941451,1188.9129638671875,0.6560087745316499
48464,8,135.79641723632813,954.2981095030027,356.7991943359375,0.44088733742215125
48464,9,157.884033203125,1113.3963476966585,1511.926025390625,0.534335440391196
48464,10,204.03759765625,1446.8114512773118,656.53271484375,0.33616732921715164
48480,1,281.6070251464844,1810.116557048247,401.5752868652344,0.42142203552900226
48480,2,181.7029685974121,1189.6476723567755,49.70132827758789,0.24040657668809795
48480,3,294.5079345703125,1565.8059389452992,1544.904052734375,0.50280607890478
48480,4,315.7410888671875,1799.8163348407022,2034.0489501953125,0.3643623688548092
48480,5,262.4739990234375,1719.9996661815842,683.28228759765625,0.3459472506759551
48480,6,169.90599060058594,1134.4852945152743,231.5363006591797,0.26492619612829127
48480,7,286.8397216796874,1513.488770470386,945.8563232421876,0.3373073085766157
48480,8,194.405029296875,1199.7952021479546,1839.5439453125,0.33481853242696413
48484,1,158.6519775390625,1770.3207041782987,1159.927978515625,0.3241637238956414
48484,2,110.2169189453125,1258.8452482847922,1318.697021484375,0.4387175465381963
48484,3,141.63446044921875,1574.1970790833577,751.6920166015625,0.47040223714744467
48484,4,160.93511962890625,1855.2241175557856,489.67230224609375,0.34225600781651955
48484,5,153.43497085571292,1766.8192278250567,46.21892929077149,0.279520163586233
48484,6,100.86749267578125,1143.0637590288977,650.72412109375,0.38404659066488445
48484,7,121.08410644531239,1324.3637069801746,893.44287109375,0.32653115227341223
48484,8,122.35269165039063,1396.6349875830674,199.76910400390625,0.3923654689437992
48484,9,145.18499755859364,1666.3867054564384,1014.6279907226564,0.3936226331371131
48484,10,167.31982421875,1931.3991198426402,322.2367858886719,0.46411388011806254
48486,1,171.1659088134766,1966.8446734351942,44.2156982421875,0.25040656711119347
48486,2,118.43148803710938,1351.0204481773637,347.6636047363281,0.3298597720229035
